threads,grid_size,sync_mode,sync_interval,episodes,schedule,chunk,obstacles_pct,block,training_time_s,converged,vtune_elapsed_s,vtune_ipc,vtune_mem_bound_pct,thread_cpu_time_s,thread_wait_time_s,thread_spin_time_s,thread_overhead_time_s,thread_eff_cpu_util_pct
40,10,sqrt,1000,5000,dynamic,10,0,1,0.004947,yes,0.015,0.467,0.0,NA,NA,NA,NA,NA
8,10,statespace,0,5000,static,0,50,1,0.003631,yes,0.010,1.353,0.0,NA,NA,NA,NA,NA
2,10,sqrt,0,5000,static,10,0,1,0.004301,yes,0.025,1.070,25.8,NA,NA,NA,NA,NA
20,10,sqrt,1000,10000,dynamic,0,50,1,0.005084,yes,0.013,1.119,54.9,NA,NA,NA,NA,NA
40,10,sqrt,0,5000,static,0,0,1,0.008834,yes,0.016,0.275,88.7,NA,NA,NA,NA,NA
16,50,sqrt,0,10000,guided,0,0,1,0.063737,yes,0.079,0.831,51.7,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,static,10,0,1,0.023227,yes,0.038,1.259,74.1,NA,NA,NA,NA,NA
40,10,sqrt,0,10000,dynamic,1,50,1,0.020018,yes,0.041,0.292,89.1,NA,NA,NA,NA,NA
20,50,sqrt,10,10000,guided,1,0,1,0.140320,no,0.155,0.638,72.6,NA,NA,NA,NA,NA
16,10,sqrt,0,5000,guided,0,0,1,0.012480,yes,0.022,0.246,94.3,NA,NA,NA,NA,NA
40,10,sqrt,10,5000,guided,1,50,1,0.022488,yes,0.043,0.218,100.0,NA,NA,NA,NA,NA
40,10,statespace,0,10000,static,0,50,1,0.010925,yes,0.025,0.435,73.1,NA,NA,NA,NA,NA
40,50,sqrt,0,10000,guided,0,50,1,0.307726,no,0.326,1.923,13.9,NA,NA,NA,NA,NA
2,50,sqrt,10,5000,guided,0,0,1,0.045501,yes,0.056,1.811,16.4,NA,NA,NA,NA,NA
16,50,sqrt,0,5000,static,1,50,1,0.324252,no,0.341,2.309,14.0,NA,NA,NA,NA,NA
4,50,sqrt,10,10000,static,10,50,1,3.040368,no,3.049,1.929,9.7,NA,NA,NA,NA,NA
4,50,sqrt,10,5000,static,10,50,1,1.694088,no,1.710,2.024,8.7,NA,NA,NA,NA,NA
40,10,sqrt,0,5000,dynamic,10,0,1,0.010901,yes,0.025,0.302,59.4,NA,NA,NA,NA,NA
16,50,sqrt,10,10000,guided,1,50,1,0.613750,no,0.631,1.917,17.0,NA,NA,NA,NA,NA
16,10,sqrt,10,10000,static,0,50,1,0.033932,yes,0.055,0.287,100.0,NA,NA,NA,NA,NA
16,10,sqrt,10,5000,static,0,0,1,0.015494,yes,0.024,0.255,88.6,NA,NA,NA,NA,NA
4,50,statespace,0,10000,guided,1,0,1,0.032150,yes,0.051,1.411,28.9,NA,NA,NA,NA,NA
40,50,statespace,0,5000,static,0,50,1,0.137383,no,0.148,2.233,22.5,NA,NA,NA,NA,NA
16,50,sqrt,10,5000,guided,0,0,1,0.070265,no,0.080,0.752,59.0,NA,NA,NA,NA,NA
40,50,sqrt,0,5000,guided,1,50,1,0.160214,no,0.179,1.938,19.9,NA,NA,NA,NA,NA
20,10,statespace,0,10000,static,1,0,1,0.007164,yes,0.018,0.417,83.1,NA,NA,NA,NA,NA
40,10,sqrt,10,5000,guided,0,50,1,0.021878,yes,0.033,0.220,91.0,NA,NA,NA,NA,NA
2,100,sqrt,0,10000,guided,1,50,1,8.829166,no,8.860,4.577,0.6,NA,NA,NA,NA,NA
4,50,sqrt,0,5000,dynamic,0,0,1,0.027096,yes,0.041,1.452,41.0,NA,NA,NA,NA,NA
16,100,hogwild,0,10000,guided,0,0,1,0.024077,yes,0.041,0.882,93.5,NA,NA,NA,NA,NA
4,10,sqrt,10,5000,static,10,50,1,0.015788,yes,0.036,0.827,34.9,NA,NA,NA,NA,NA
4,100,sqrt,0,5000,static,10,0,1,0.088632,no,0.102,1.441,18.0,NA,NA,NA,NA,NA
2,10,hogwild,0,10000,static,0,50,1,0.013319,yes,0.023,1.577,57.9,NA,NA,NA,NA,NA
16,50,sqrt,10,10000,dynamic,1,50,1,0.676020,no,0.692,1.822,17.3,NA,NA,NA,NA,NA
